id_bloco;nome_bloco;percurso;lat_inicio;lat_final;long_inicio;long_final;publico
BL_250_273.1;DESLIGA DA JUSTIÇA;RUA PACHECO LEÃO - PÇA SANTOS DUMONT;;;;;12000
BL_124_131.3;BANDA DE IPANEMA;RUA VISCONDE DE PIRAJÁ, 61 - AVENIDA VIEIRA SOUTO - RUA JOANA ANGÉLICA -RUA VISCONDE DE PIRAJÁ, 61;;;;;55000
BL_745_815.1;BLOCO CARNAVAL SQUARE;AV. PRES. ANTÔNIO CARLOS;;;;;120000
BL_674_752.1;ME CHAMA;AV. LUCIO COSTA, 3500 - PRAÇA DO Ó;;;;;10000
BL_176_189.1;BANDA AMIGOS DA BARRA;AVENIDA LÚCIO COSTA,3500 - POSTO 3 DO SALVAMAR ;;;;;30000
BL_654_733.1;CHORA ME LIGA;AV. PRES. ANTÔNIO CARLOS;;;;;110000
BL_323_359.1;ESTRATÉGIA;LARGO SÃO FRANCISCO DE PAULA;;;;;11000
BL_441_489.1;BLOCO BRASIL;PRAÇA ALM. JÚLIO DE NORONHA;;;;;11000
BL_673_793.1;PEROLA DA GUANABARA;RUA PADRE JUVENAL;;;;;10000
BL_489_538.1;SIMPATIA É QUASE AMOR;R. TEIXEIRA DE MELO - AV. HENRIQUE DUMONT;;;;;150000
BL_270_297.1;BANDA HADDOCK;RUA HADDOCK LOBO - RUA CAMPOS SALES - RUA DR. SATAMINI - RUA SÃO FRANCISCO XAVIER - RUA HADDOCK LOBO ATÉ A RUA AFONSO PENA;;;;;11000
BL_730_805.1;BLOCO CHÁ DA ALICE;RUA SACADURA CABRAL,RUA BARÃO DE TEFÉ;;;;;35000
BL_256_282.1;SUVACO DO CRISTO;RUA JARDIM BOTÂNICO, 594  - RUA MAJOR RUBENS VAZ;;;;;35000
BL_26_27.1;BLOCO FOGO E PAIXÃO;LARGO SÃO FRANCISCO DE PAULA;;;;;45000
BL_542_604.1;CORDÃO DO BOITATÁ;AV. HENRIQUE VALADARES - AV. GOMES FREIRE - RUA VISCONDE DO RIO BRANCO - PRAÇA TIRADENTES ;;;;;18000
BL_218_239.1;BANDA DA BARRA;AV LUCIO COSTA, 3646 - POSTO 3;;;;;30000
BL_145_155.1;BLOCO DA PRETA;AV. PRES. ANTÔNIO CARLOS;;;;;320000
BL_41_43.1;BLOCO DAS CARMELITAS;LADEIRA DE SANTA TERESA - RUA DIAS DE BARROS - R. ALM. ALEXANDRINO;;;;;180000
